timestamp,src_ip,dst_ip,length,protocol_type,syn_flag,ack_flag,icmp_payload_size,dst_port,is_http_traffic,is_partial_http
1769104855.842639,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769104855.84268,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769104855.843056,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769104855.843097,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769104855.843111,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769104855.843121,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769104855.843408,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769104855.843429,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769104855.843786,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769104855.843806,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769104855.843978,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769104855.843991,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769104855.848231,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769104855.848262,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769104855.8505,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769104855.850533,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769104855.850778,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769104855.850819,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769104855.878739,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769104855.878767,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769104856.895352,127.0.0.1,127.0.0.1,109,1,0,1,0,8000,1,1
1769104856.895447,127.0.0.1,127.0.0.1,40,1,0,1,0,49673,0,0
1769104856.969579,127.0.0.1,127.0.0.1,101,1,0,1,0,8000,1,1
1769104856.969671,127.0.0.1,127.0.0.1,40,1,0,1,0,49674,0,0
1769104857.06565,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769104857.065694,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769104857.065853,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769104857.065875,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769104857.066006,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769104857.066028,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769104857.066527,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769104857.06667,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769104857.067207,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769104857.067245,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769104857.067414,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769104857.067434,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769104857.068782,127.0.0.1,127.0.0.1,100,1,0,1,0,8000,1,1
1769104857.068809,127.0.0.1,127.0.0.1,40,1,0,1,0,49675,0,0
1769104857.07086,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769104857.070891,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769104857.076085,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769104857.076227,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769104857.077002,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769104857.077047,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769104857.119051,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769104857.119096,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769104857.193342,127.0.0.1,127.0.0.1,91,1,0,1,0,8000,1,1
1769104857.193414,127.0.0.1,127.0.0.1,40,1,0,1,0,49676,0,0
1769104857.285158,127.0.0.1,127.0.0.1,109,1,0,1,0,8000,1,1
1769104857.285225,127.0.0.1,127.0.0.1,40,1,0,1,0,49677,0,0
1769104857.376635,127.0.0.1,127.0.0.1,107,1,0,1,0,8000,1,1
