timestamp,src_ip,dst_ip,length,protocol_type,syn_flag,ack_flag,icmp_payload_size,dst_port,is_http_traffic,is_partial_http
1772565337.454765,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565337.454836,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565337.455284,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565337.455357,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565337.455393,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565337.455418,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565337.456001,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565337.456041,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565337.456599,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565337.456658,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565337.457036,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565337.457086,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565337.467498,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565337.467612,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565337.477021,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565337.477121,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565337.47781,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565337.477905,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565337.553254,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565337.553309,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565337.714534,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565337.714566,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565337.71496,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565337.714992,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565337.715117,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565337.715157,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565337.715521,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565337.71554,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565337.716049,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565337.716137,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565337.716523,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565337.716549,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565337.722271,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565337.722325,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565337.725782,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565337.72584,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565337.726002,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565337.726039,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565337.782107,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565337.782155,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565339.297871,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565339.297958,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565339.29834,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565339.298402,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565339.298423,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565339.298437,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565339.299326,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565339.299384,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565339.299869,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565339.299931,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565339.300207,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565339.30025,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565339.307159,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565339.307248,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565339.312958,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565339.313011,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565339.313395,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565339.313477,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565339.366267,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565339.366306,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565339.746063,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565339.746114,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565339.746568,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1772565339.746615,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565339.746919,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565339.746951,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1772565339.762947,127.0.0.1,127.0.0.1,42,1,0,1,0,49701,0,0
1772565339.763045,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1772565339.763656,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1772565339.763712,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
