timestamp,src_ip,dst_ip,length,protocol_type,syn_flag,ack_flag,icmp_payload_size,dst_port,is_http_traffic,is_partial_http
1769105310.289444,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769105310.289477,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769105310.289707,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769105310.289728,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769105310.289845,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769105310.289863,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769105310.290159,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769105310.29018,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769105310.290482,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769105310.290502,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769105310.290707,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769105310.290723,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769105311.715929,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769105311.716018,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769105311.716356,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769105311.716426,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769105311.716455,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769105311.716475,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769105311.717134,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769105311.717195,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769105311.71775,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769105311.717802,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769105311.718177,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769105311.718233,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769105311.854051,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769105311.854127,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
1769105311.854758,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769105311.854833,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769105311.85487,127.0.0.1,127.0.0.1,41,1,0,1,0,49697,0,0
1769105311.854901,127.0.0.1,127.0.0.1,40,1,0,1,0,49698,0,0
1769105311.855651,127.0.0.1,127.0.0.1,41,1,0,1,0,49696,0,0
1769105311.855704,127.0.0.1,127.0.0.1,40,1,0,1,0,49695,0,0
