timestamp,src_ip,dst_ip,length,protocol_type,syn_flag,ack_flag,icmp_payload_size,dst_port,is_http_traffic,is_partial_http
1769654523.78247,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1769654523.782515,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1769654523.783186,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1769654523.783253,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1769654523.783285,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1769654523.783309,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1769654523.783745,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1769654523.783788,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1769654523.784506,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1769654523.784615,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1769654523.784913,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1769654523.784932,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1769654534.715677,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1769654534.715717,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1769654534.716079,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1769654534.716125,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1769654534.716147,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1769654534.716163,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1769654534.716423,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1769654534.716453,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1769654534.716788,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1769654534.716829,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1769654534.717111,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1769654534.717136,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1769654535.289227,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1769654535.289265,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1769654535.289566,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1769654535.289608,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1769654535.28963,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
1769654535.289646,127.0.0.1,127.0.0.1,40,1,0,1,0,49702,0,0
1769654535.290042,127.0.0.1,127.0.0.1,41,1,0,1,0,49698,0,0
1769654535.290076,127.0.0.1,127.0.0.1,40,1,0,1,0,49697,0,0
1769654535.290509,127.0.0.1,127.0.0.1,41,1,0,1,0,49701,0,0
